Author,Comment,Likes,PublishedAt
@CNN,Trump declines to say whether US-Iran ceasefire is still in effect as Strait of Hormuz tensions escalate: https://cnn.it/48K7eS6,28,2026-05-05T03:28:27Z
@davidhutchinson5233,"Saddam did not sponsor terror. That connection was disproven decades ago.  And these right wingers.  Jesus.  They never quit with their BS.   Adam, just keep the faith my man.  Keep taking it to them.  Speak that truth to power.",0,2026-05-06T04:02:36Z
@willmichael4033,The boomers get so mad when you try to take away their wars.,0,2026-05-06T03:52:18Z
@brandonwayne6131,Baby boomers are the biggest failure generations in American history since the generation that created the Great Depression. 69 years of growth and they erased its in 35 years back to 1957. The talk is always WMD but none have ever been found. The only thing thatâ€™s being found is lies over and over and over for 40 years.,0,2026-05-06T03:45:41Z
@Ben-bo9dl,All boomers are sociopaths.,0,2026-05-06T03:37:08Z
@loorowoo22,"Maybe This Generation doesn't like Putting up with a Liar in Chief.  
Elon Musk and Bozo Bezos pay 9% Income Tax.  Adolph Trump is a Dumpster Fire.",0,2026-05-06T03:17:56Z
@similik101,"Adam, you are doing sooo good! Great job! Keep it up.",0,2026-05-06T03:06:29Z
@vivianwebber2001,Adam Mockler RockssssðŸŽ‰ðŸŽ‰ðŸŽ‰â¤â¤â¤â¤â¤â¤â¤â¤â¤,0,2026-05-06T03:03:39Z
@guydelatour9281,"That operation just ended 24hrs from starting it looser.

Hell be saying we are closer to winning years later still and anyone else complaining is ungrateful",0,2026-05-06T02:23:45Z
@Crixus2025,FAKE NEWS,0,2026-05-06T02:20:36Z
@stanmoroncini8825,"Boomers who love war and are pro Iran war are so because they majority of them didnâ€™t serve. They spent a good deal of their time dodging the draft during Vietnam, getting high at Woodstock and the summer of love then turned around and voted Reagan, benefiting from his cuts to the social safety net and becoming brain washed and delusional into thinking the answer to everything is American military might. Meanwhile, theyâ€™re too old to fight in any recent or present wars so what do they care if another one erupts? They wonâ€™t have to face the consequences of shattered young bodies coming back in coffins or disabled, or the massive budget deficit that comes with a war, or the lasting environmental damage from them. Theyâ€™re on their way out and they think that because they bought a house and paid for a college degree while working at Fosters Freeze back in 1970, anyone can do it. They got theirs so what does it matter to them? Conservative Boomers, the most selfish and entitled of generations.",0,2026-05-06T02:12:25Z
@EPIC_HHH,Iraq wasn't a threat. America is.,0,2026-05-06T02:09:49Z
@PastorV-RadiantCenter,This young man is sharp and unafraid of the liars. @adammockler I support you!,0,2026-05-06T02:01:47Z
@InhumaneSociety-i9s,THANKS OHH GREAT EMPEROR TRUMPLIGULA,0,2026-05-06T01:59:03Z
@Bellaetfleur,Hilton for deportation,0,2026-05-06T01:41:47Z
@josephwhite4043,"We do not talk about Iraq being a threat because it never was, and Republicans as usual lied as if lives do not matter.",0,2026-05-06T01:36:23Z
@tobyjohnson53,"This administration saying that gas prices will come down as soon as the war is over, is like saying every car waiting at a red light, moves as soon as the light turns green?! Not so. Youâ€™re lying and your slip is showingðŸ™„ðŸ¤¦ðŸ½â€â™‚ï¸",0,2026-05-06T01:36:12Z
